p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.0303358,1.49813,-1.021,-0.160308,-0.00814839,0.0484337,0.706189,-0.0274287,0.0242989,0.707074,-0.0181345,-0.174911,0.00711175
-0.0322863,1.49804,-1.02042,-0.164838,-0.00833356,0.0496795,0.706186,-0.0271532,0.0239602,0.7071,-0.0183344,-0.173127,0.00718371
-0.0322863,1.49804,-1.02042,-0.164838,-0.00833356,0.0496795,0.706182,-0.026878,0.0236215,0.707125,-0.0183907,-0.174202,0.00727141
-0.0347392,1.49792,-1.01969,-0.174949,-0.00882237,0.0525289,0.706178,-0.0266064,0.0232857,0.707151,-0.0186629,-0.170364,0.00734613
-0.0347392,1.49792,-1.01969,-0.174949,-0.00882237,0.0525289,0.706174,-0.026331,0.0229461,0.707176,-0.0184269,-0.176517,0.00744508
-0.037033,1.4978,-1.01902,-0.181791,-0.00915085,0.0543494,0.70617,-0.0260517,0.0226029,0.707202,-0.0185181,-0.17598,0.00752933
-0.037033,1.4978,-1.01902,-0.181791,-0.00915085,0.0543494,0.706165,-0.0257677,0.0222553,0.707228,-0.0183315,-0.180583,0.00763513
-0.0393857,1.49768,-1.01834,-0.188321,-0.00948146,0.0560356,0.70616,-0.0254823,0.0219062,0.707254,-0.0184697,-0.178915,0.00772524
-0.0393857,1.49768,-1.01834,-0.188321,-0.00948146,0.0560356,0.706155,-0.0251942,0.0215546,0.707281,-0.0183119,-0.182429,0.00783801
-0.0417954,1.49756,-1.01765,-0.195127,-0.00985762,0.0577511,0.70615,-0.0249063,0.0212031,0.707307,-0.0184609,-0.179992,0.00793414
-0.0417954,1.49756,-1.01765,-0.195127,-0.00985762,0.0577511,0.706144,-0.0246164,0.0208499,0.707333,-0.0182781,-0.183318,0.00805404
-0.0442602,1.49743,-1.01695,-0.201578,-0.0102323,0.0593065,0.706138,-0.024327,0.020497,0.70736,-0.0184173,-0.180733,0.00815623
-0.0442602,1.49743,-1.01695,-0.201578,-0.0102323,0.0593065,0.706131,-0.0240362,0.020143,0.707386,-0.0182414,-0.18363,0.00828313
-0.0467784,1.4973,-1.01624,-0.207901,-0.0106324,0.0607907,0.706125,-0.0237465,0.01979,0.707413,-0.0183906,-0.180754,0.00839127
-0.0467784,1.4973,-1.01624,-0.207901,-0.0106324,0.0607907,0.706117,-0.0234558,0.0194363,0.707439,-0.018175,-0.183378,0.00852552
-0.0493479,1.49716,-1.01552,-0.214062,-0.0110355,0.0621728,0.70611,-0.0231666,0.019084,0.707466,-0.0183162,-0.180329,0.00863989
-0.0493479,1.49716,-1.01552,-0.214062,-0.0110355,0.0621728,0.706102,-0.0228768,0.0187315,0.707493,-0.0180942,-0.182734,0.00878154
-0.0519668,1.49702,-1.01479,-0.220065,-0.0114333,0.0634615,0.706094,-0.0225886,0.0183807,0.707519,-0.0182267,-0.179557,0.00890221
-0.0519668,1.49702,-1.01479,-0.220065,-0.0114333,0.0634615,0.706085,-0.0223002,0.0180298,0.707546,-0.0180196,-0.181785,0.00905086
-0.0546334,1.49687,-1.01406,-0.225923,-0.0118744,0.0646656,0.706076,-0.0220136,0.0176809,0.707573,-0.0181687,-0.178517,0.00917752
-0.0546334,1.49687,-1.01406,-0.225923,-0.0118744,0.0646656,0.706066,-0.021727,0.0173321,0.7076,-0.0179404,-0.180609,0.00933393
-0.0573456,1.49671,-1.01333,-0.231618,-0.0123267,0.0657739,0.706056,-0.0214425,0.0169855,0.707627,-0.0180842,-0.177282,0.00946727
-0.0573456,1.49671,-1.01333,-0.231618,-0.0123267,0.0657739,0.706046,-0.021158,0.0166393,0.707654,-0.017818,-0.179247,0.00963077
-0.0601017,1.49655,-1.01259,-0.236922,-0.0127844,0.0667404,0.706035,-0.0208757,0.0162953,0.707681,-0.0179463,-0.175871,0.00977014
-0.0601017,1.49655,-1.01259,-0.236922,-0.0127844,0.0667404,0.706024,-0.0205938,0.0159522,0.707709,-0.0176797,-0.177478,0.00994143
-0.0628999,1.49639,-1.01185,-0.242491,-0.013276,0.067741,0.706012,-0.0203145,0.0156118,0.707736,-0.0178154,-0.173912,0.0100874
-0.0628999,1.49639,-1.01185,-0.242491,-0.013276,0.067741,0.706,-0.0200356,0.0152722,0.707764,-0.0175228,-0.175766,0.0102657
-0.0657382,1.49621,-1.0111,-0.247732,-0.0137834,0.0686067,0.705987,-0.0197588,0.0149349,0.707791,-0.0176498,-0.172409,0.0104177
-0.0657382,1.49621,-1.0111,-0.247732,-0.0137834,0.0686067,0.705974,-0.0194823,0.0145984,0.707819,-0.017351,-0.174139,0.0106031
-0.0686149,1.49603,-1.01035,-0.252758,-0.014273,0.0693663,0.705961,-0.0192082,0.0142643,0.707847,-0.0174862,-0.170744,0.0107611
-0.0686149,1.49603,-1.01035,-0.252758,-0.014273,0.0693663,0.705947,-0.0189345,0.0139312,0.707875,-0.0171894,-0.172309,0.0109542
-0.0715283,1.49585,-1.00961,-0.257348,-0.014793,0.0699634,0.705932,-0.0186634,0.0136007,0.707903,-0.0173459,-0.168852,0.0111188
-0.0715283,1.49585,-1.00961,-0.257348,-0.014793,0.0699634,0.705917,-0.0183932,0.0132717,0.707931,-0.0170347,-0.170008,0.0113192
-0.0744765,1.49566,-1.00886,-0.262315,-0.0153615,0.0706461,0.705902,-0.018126,0.0129457,0.707959,-0.0171784,-0.166342,0.0114899
-0.0744765,1.49566,-1.00886,-0.262315,-0.0153615,0.0706461,0.705886,-0.0178596,0.0126211,0.707988,-0.0168268,-0.167857,0.0116971
-0.0774578,1.49546,-1.00811,-0.266806,-0.0159113,0.0711418,0.705869,-0.0175955,0.012299,0.708017,-0.0169535,-0.164485,0.0118735
-0.0774578,1.49546,-1.00811,-0.266806,-0.0159113,0.0711418,0.705852,-0.0173322,0.0119783,0.708046,-0.0166254,-0.165781,0.0120875
-0.0804705,1.49526,-1.00737,-0.271131,-0.0164688,0.0715776,0.705835,-0.0170716,0.0116603,0.708075,-0.0167801,-0.162319,0.01227
-0.0804705,1.49526,-1.00737,-0.271131,-0.0164688,0.0715776,0.705817,-0.0168119,0.0113439,0.708104,-0.0164407,-0.16347,0.0124906
-0.0835129,1.49505,-1.00662,-0.275033,-0.0170454,0.0718477,0.705798,-0.0165551,0.0110304,0.708133,-0.016609,-0.159973,0.0126785
-0.0835129,1.49505,-1.00662,-0.275033,-0.0170454,0.0718477,0.705779,-0.0162996,0.0107188,0.708163,-0.0162609,-0.160753,0.0129054
-0.0865834,1.49483,-1.00588,-0.279342,-0.0176664,0.0722022,0.70576,-0.0160474,0.0104106,0.708193,-0.0164213,-0.157083,0.0130988
